                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8879,                 1.6218,                 1.2075,                0.60852,                0.50713,                0.51394,                  0.229,                 1.8701,                 1.4903,                 1.2827,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.8894,                 1.5935,                 1.1898,                0.57112,                0.53985,                0.48026,                0.16754,                 2.0925,                 1.5801,                 1.4129,               0.001769,               0.001769,               0.001769
                     37,                 1.8734,                   1.56,                 1.2063,                0.45302,                0.45728,                0.40356,                0.14154,                 2.0737,                 1.7343,                 1.3909,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.8648,                 1.5539,                  1.194,                0.59974,                0.54054,                0.51536,                 0.2158,                 1.9323,                 1.5508,                 1.3094,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.8884,                 1.5999,                 1.2126,                0.63818,                0.51158,                0.51048,                0.21756,                  1.941,                 1.5956,                 1.3248,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.8608,                 1.5333,                 1.1868,                0.65193,                0.57722,                0.54092,                0.23405,                 1.9314,                 1.4435,                 1.3125,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.8811,                 1.5385,                 1.1924,                0.60513,                0.56564,                0.50449,                0.20939,                 1.9277,                 1.4688,                 1.3084,               0.001736,               0.001736,               0.001736
                     42,                 1.8721,                 1.5886,                 1.1865,                0.63515,                0.54445,                0.51993,                0.21291,                 1.9776,                 1.5254,                  1.345,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.8817,                 1.5349,                 1.1792,                0.56707,                0.51351,                0.49731,                0.20596,                 1.9639,                 1.5305,                 1.3214,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.8468,                 1.5571,                  1.199,                0.62515,                 0.5444,                0.53115,                0.21293,                 1.9477,                 1.4682,                 1.3147,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.8733,                 1.5596,                 1.1944,                0.63432,                0.54826,                0.50077,                0.20436,                 2.0377,                 1.4967,                 1.3719,              0.0017096,              0.0017096,              0.0017096
                     46,                 1.8726,                 1.5439,                 1.1975,                0.60273,                0.53668,                0.53485,                0.23507,                 1.9152,                 1.4992,                 1.2972,               0.001703,               0.001703,               0.001703
                     47,                 1.8843,                  1.516,                 1.2062,                0.64561,                 0.5444,                0.53648,                 0.2209,                 1.9357,                 1.4918,                 1.3157,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.8676,                 1.5269,                 1.1937,                0.57922,                0.52703,                0.52075,                0.21248,                  1.963,                 1.5322,                 1.3176,              0.0016898,              0.0016898,              0.0016898
