                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 1.7706,                 2.1788,                  1.505,                 1.1764,                0.30603,                0.28267,                0.17712,                0.05252,                0.30439,                0.29179,                0.16673,                0.05003,                 2.8908,                 3.4306,                 2.6944,                 1.7101,              0.0013136,              0.0013136,              0.0013136
                    106,                 1.7597,                 2.1893,                 1.4929,                 1.1774,                0.22112,                0.22796,                0.13163,                0.03816,                0.23786,                0.25517,                0.13898,                0.04121,                 2.9543,                 3.6397,                 2.8157,                 1.7191,               0.001307,               0.001307,               0.001307
                    107,                 1.7361,                 2.1343,                 1.4465,                  1.172,                0.32615,                0.31003,                0.22855,                0.06692,                0.34651,                0.31267,                0.23357,                0.06693,                 2.7591,                 3.4703,                 2.4783,                 1.5819,              0.0013004,              0.0013004,              0.0013004
                    108,                 1.7673,                 2.1633,                 1.4504,                 1.1802,                0.29319,                 0.2614,                0.15771,                0.04694,                0.31923,                0.28267,                0.16802,                0.05078,                 3.0353,                   3.79,                 2.6817,                 1.7799,              0.0012938,              0.0012938,              0.0012938
                    109,                 1.7471,                 2.1632,                 1.4702,                 1.1644,                0.23731,                0.27052,                0.15026,                0.04443,                0.24566,                0.25836,                0.14614,                0.04387,                 2.9598,                 3.7036,                 2.7175,                 1.7235,              0.0012872,              0.0012872,              0.0012872
                    110,                 1.7451,                  2.131,                 1.4454,                  1.167,                0.31133,                 0.2766,                 0.1611,                0.04322,                  0.314,                0.26444,                0.16184,                 0.0441,                 2.8851,                 3.5642,                 2.7404,                 1.6494,              0.0012806,              0.0012806,              0.0012806
                    111,                 1.7912,                 2.1698,                 1.4605,                 1.2071,                 0.3392,                0.29483,                0.19165,                0.05857,                0.36461,                0.30699,                0.20784,                 0.0617,                 2.9182,                 3.4191,                 2.4734,                 1.6853,               0.001274,               0.001274,               0.001274
                    112,                 1.7554,                 2.1101,                 1.4684,                 1.1537,                0.34203,                0.34954,                0.24142,                0.07146,                0.34221,                0.32827,                0.23082,                0.06681,                  2.763,                 3.4981,                 2.4213,                 1.5948,              0.0012674,              0.0012674,              0.0012674
                    113,                 1.7522,                 2.1618,                 1.4554,                 1.1758,                0.29724,                 0.2417,                0.16593,                0.05022,                0.30776,                0.24864,                0.16687,                0.04844,                 2.8412,                 3.7961,                 2.6856,                 1.6577,              0.0012608,              0.0012608,              0.0012608
                    114,                 1.7642,                  2.174,                  1.498,                 1.1562,                0.30209,                 0.2766,                0.18382,                0.05391,                0.29071,                0.29179,                0.17012,                 0.0511,                 2.9529,                 3.6171,                 2.6206,                   1.71,              0.0012542,              0.0012542,              0.0012542
                    115,                 1.7598,                 2.1648,                 1.4722,                 1.1738,                0.30993,                0.27052,                0.16907,                0.04916,                0.29315,                0.28111,                0.16952,                0.05145,                 2.9305,                 3.5735,                 2.6134,                 1.7421,              0.0012476,              0.0012476,              0.0012476
                    116,                 1.7447,                 2.1819,                 1.4538,                 1.1574,                0.31105,                0.32219,                0.20409,                0.05512,                0.34184,                0.31611,                0.20739,                0.05493,                 2.8178,                 3.3414,                  2.463,                   1.63,               0.001241,               0.001241,               0.001241
                    117,                 1.7534,                 2.1372,                 1.4547,                 1.1704,                0.38125,                0.27964,                0.20287,                0.05564,                0.38306,                0.27964,                0.21408,                0.06205,                 2.8347,                  3.442,                  2.472,                 1.6192,              0.0012344,              0.0012344,              0.0012344
                    118,                 1.7369,                 2.1669,                 1.4356,                 1.1762,                0.27586,                0.29295,                 0.1766,                0.05062,                0.26542,                0.29179,                0.16642,                0.04782,                 2.8718,                 3.6907,                 2.7233,                 1.6363,              0.0012278,              0.0012278,              0.0012278
                    119,                 1.7322,                 2.1451,                 1.4266,                 1.1587,                0.25912,                0.32827,                0.18072,                0.04803,                0.33729,                0.25228,                0.18328,                0.04971,                 2.9775,                 3.7238,                 2.5088,                  1.768,              0.0012212,              0.0012212,              0.0012212
                    120,                 1.7371,                 2.1447,                 1.4006,                 1.1629,                0.29649,                0.25228,                0.17853,                0.05425,                0.30478,                0.29483,                0.17529,                0.05323,                 2.8748,                 3.5424,                 2.5802,                 1.6667,              0.0012146,              0.0012146,              0.0012146
                    121,                 1.7205,                 2.1381,                 1.4367,                 1.1521,                 0.2502,                0.25228,                 0.1414,                0.03966,                0.25426,                0.28875,                0.14972,                0.04202,                 3.0661,                 3.8053,                 2.9554,                 1.8338,               0.001208,               0.001208,               0.001208
                    122,                  1.724,                 2.1173,                 1.4054,                 1.1619,                0.25426,                0.25532,                0.13882,                0.03952,                0.25098,                0.24924,                0.13312,                0.03925,                  3.017,                 3.8257,                  2.775,                  1.752,              0.0012014,              0.0012014,              0.0012014
                    123,                  1.746,                 2.0601,                 1.4477,                 1.1597,                0.29488,                0.30395,                0.19777,                 0.0554,                0.32317,                0.32219,                0.21862,                0.05989,                 2.7953,                 3.4717,                 2.5008,                 1.6225,              0.0011948,              0.0011948,              0.0011948
                    124,                  1.706,                 2.1135,                 1.4134,                 1.1586,                0.36032,                0.29483,                 0.2177,                0.06382,                0.37223,                0.30459,                0.22878,                0.06622,                  2.772,                 3.4226,                 2.5206,                 1.6164,              0.0011882,              0.0011882,              0.0011882
                    125,                 1.7236,                 2.1197,                 1.4057,                 1.1536,                 0.3098,                0.31003,                0.18232,                0.04505,                0.32534,                0.32219,                0.20609,                0.05254,                 2.9487,                 3.5507,                 2.4767,                 1.7397,              0.0011816,              0.0011816,              0.0011816
                    126,                 1.7322,                  2.127,                 1.3913,                 1.1604,                 0.3064,                0.27052,                0.16487,                0.05321,                0.34083,                0.30091,                0.18977,                 0.0534,                 2.8474,                 3.6127,                 2.6913,                  1.683,               0.001175,               0.001175,               0.001175
                    127,                  1.701,                 2.1054,                 1.3958,                 1.1524,                0.34857,                0.25228,                0.17513,                0.04983,                0.35759,                0.25378,                0.18614,                0.05023,                 3.0405,                 3.6632,                 2.6516,                 1.8239,              0.0011684,              0.0011684,              0.0011684
                    128,                 1.7085,                 2.1246,                 1.4051,                 1.1472,                0.31177,                0.29179,                0.18831,                0.05957,                0.35934,                0.32523,                0.22809,                 0.0668,                 2.8434,                 3.5875,                 2.6154,                 1.6738,              0.0011618,              0.0011618,              0.0011618
                    129,                 1.6975,                 2.1193,                 1.3977,                 1.1504,                0.32299,                 0.2614,                 0.1819,                0.05686,                0.33326,                0.26748,                0.19583,                 0.0575,                 2.8773,                 3.7469,                 2.6623,                  1.695,              0.0011552,              0.0011552,              0.0011552
                    130,                 1.7263,                 2.1011,                 1.4136,                 1.1541,                0.30352,                0.28267,                0.15806,                0.04788,                0.31438,                0.30104,                0.17281,                0.05197,                 2.9862,                 3.6511,                 2.6107,                 1.7463,              0.0011486,              0.0011486,              0.0011486
                    131,                 1.6869,                 2.1308,                 1.3639,                 1.1533,                 0.2705,                0.29642,                0.15324,                 0.0451,                0.29515,                0.31565,                0.17865,                0.05123,                 2.9991,                 3.8655,                 2.6827,                 1.7898,               0.001142,               0.001142,               0.001142
                    132,                 1.7194,                 2.1096,                 1.3818,                 1.1614,                0.24671,                0.27356,                0.14694,                0.04237,                0.26956,                0.24924,                0.15761,                0.04625,                 3.1059,                 4.0114,                 2.5349,                  1.837,              0.0011354,              0.0011354,              0.0011354
                    133,                 1.7061,                 2.0832,                 1.3622,                 1.1589,                0.31074,                0.26748,                0.16056,                0.04497,                0.30489,                0.26748,                0.16618,                0.04849,                 2.9689,                 3.8586,                 2.5882,                 1.7602,              0.0011288,              0.0011288,              0.0011288
                    134,                 1.6996,                 2.1043,                 1.3657,                 1.1519,                0.29719,                0.29483,                0.17724,                0.05258,                0.34928,                 0.3465,                0.24312,                 0.0616,                 2.9284,                 3.5558,                 2.5454,                 1.7199,              0.0011222,              0.0011222,              0.0011222
                    135,                 1.6912,                 2.0915,                 1.3986,                 1.1496,                0.31898,                0.32318,                0.17882,                 0.0519,                0.35199,                 0.3465,                0.20523,                0.05648,                 2.8993,                 3.6427,                 2.6225,                 1.7125,              0.0011156,              0.0011156,              0.0011156
                    136,                 1.6928,                 2.0485,                 1.3554,                 1.1587,                0.29053,                0.31915,                0.16613,                0.04431,                 0.3048,                0.33739,                0.18266,                0.04918,                 3.0802,                 3.8222,                 2.5601,                 1.8428,               0.001109,               0.001109,               0.001109
                    137,                 1.7062,                 2.1097,                 1.3516,                 1.1554,                0.30236,                0.31611,                0.17412,                0.05006,                0.32018,                0.34043,                0.20272,                0.05407,                 2.9764,                 3.8075,                 2.5979,                 1.7747,              0.0011024,              0.0011024,              0.0011024
