                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                   2.02,                 2.4337,                 1.9374,                 1.2922,                0.28977,                0.30395,                0.20044,                0.05955,                0.29137,                0.28369,                0.18269,                0.05715,                 2.3773,                 2.9898,                 2.5185,                  1.366,              0.0018482,              0.0018482,              0.0018482
                     25,                 2.0352,                 2.4668,                 1.9831,                 1.3051,                0.27911,                0.27052,                0.17281,                0.04912,                0.28532,                0.27964,                0.17882,                0.04909,                 2.6218,                 2.9938,                 2.5323,                 1.4829,              0.0018416,              0.0018416,              0.0018416
                     26,                 2.0423,                 2.5168,                 1.9276,                 1.3052,                0.43974,                0.35786,                0.25625,                0.08012,                0.45468,                0.37002,                0.27233,                0.08783,                 2.5815,                 2.7647,                 2.4954,                 1.4765,               0.001835,               0.001835,               0.001835
                     27,                 2.0297,                 2.4856,                 1.9686,                 1.2955,                0.41127,                0.36474,                 0.2652,                0.08558,                0.42115,                0.38298,                0.27831,                0.08821,                 2.3349,                 2.8124,                 2.3565,                 1.3542,              0.0018284,              0.0018284,              0.0018284
                     28,                 2.0317,                 2.4205,                 1.9275,                 1.2883,                0.23837,                0.20365,                0.14408,                0.03945,                0.28498,                0.24012,                0.18002,                 0.0429,                 2.8796,                 3.2891,                 2.6573,                 1.6011,              0.0018218,              0.0018218,              0.0018218
                     29,                 1.9956,                 2.4416,                 1.9677,                 1.2758,                 0.3914,                0.27953,                 0.2458,                0.07083,                0.38023,                0.31003,                0.26136,                0.06923,                 2.4646,                 2.9894,                 2.7649,                 1.4116,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.9909,                 2.4091,                 1.9419,                  1.268,                  0.354,                0.29787,                0.25299,                0.08148,                0.35295,                0.30091,                0.24925,                0.07518,                 2.5049,                 3.0343,                 2.6445,                 1.4128,              0.0018086,              0.0018086,              0.0018086
                     31,                 1.9414,                 2.3927,                 1.9163,                 1.2661,                0.30898,                0.22188,                0.15735,                0.04519,                0.33451,                 0.2462,                0.18611,                0.04965,                 2.6277,                 3.0586,                 2.8672,                 1.4799,               0.001802,               0.001802,               0.001802
                     32,                 1.9662,                 2.4256,                  1.875,                 1.2687,                0.35951,                0.31003,                0.26668,                0.09051,                0.41051,                0.31307,                0.28893,                 0.0893,                 2.3918,                  2.739,                 2.4015,                 1.3835,              0.0017954,              0.0017954,              0.0017954
                     33,                 1.9746,                 2.4107,                 1.8857,                 1.2663,                0.35137,                0.29483,                0.22846,                0.07124,                0.32831,                0.30395,                0.22581,                0.06802,                 2.4896,                 3.1221,                 2.3989,                 1.4368,              0.0017888,              0.0017888,              0.0017888
                     34,                 1.9802,                 2.3832,                 1.8602,                 1.2682,                0.35699,                0.34954,                 0.2388,                0.07468,                0.38235,                0.35562,                0.25741,                 0.0726,                 2.6028,                 3.0098,                 2.4842,                 1.4787,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.9785,                 2.4116,                 1.8308,                 1.2697,                0.25753,                0.29483,                 0.1937,                0.05592,                0.32374,                0.26444,                0.21182,                0.05168,                 2.5923,                 3.1228,                 2.6172,                 1.4869,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.9783,                 2.4113,                 1.8305,                 1.2731,                0.34935,                0.35258,                0.27172,                0.07787,                0.37102,                0.35562,                0.27273,                0.08029,                 2.4812,                 2.8209,                 2.3967,                 1.4168,               0.001769,               0.001769,               0.001769
                     37,                 1.9391,                 2.3511,                 1.8497,                 1.2497,                0.41855,                0.32827,                0.27886,                0.09047,                0.44031,                0.33739,                0.29531,                 0.0919,                 2.3796,                 2.8279,                 2.4038,                 1.3912,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.9657,                 2.3757,                 1.8361,                 1.2757,                0.28345,                0.27356,                0.20474,                0.05574,                0.33481,                0.28571,                0.22306,                0.05636,                 2.7003,                 3.1677,                 2.5737,                 1.5322,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.9568,                 2.4116,                 1.8504,                 1.2645,                0.24476,                0.26748,                0.18424,                0.05778,                0.25569,                0.27356,                0.19612,                0.05899,                 2.4715,                 2.9687,                 2.8885,                 1.4197,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.9458,                 2.3914,                 1.8625,                  1.251,                0.42031,                0.29752,                0.24465,                0.07355,                0.38757,                0.31915,                0.23045,                0.06822,                 2.5005,                 3.0669,                 2.3878,                 1.4343,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.9533,                 2.3502,                 1.7972,                 1.2589,                 0.4105,                0.28875,                0.24961,                0.07773,                0.43271,                0.30395,                0.27198,                0.07947,                 2.6874,                 2.9981,                  2.341,                 1.5143,               0.001736,               0.001736,               0.001736
